"cff = 2, order = 2, 2024-03-08 15:01:25.830034"
E,FWHM,Bandwidth,Flux,Intensity,Intensity_dict,Height_dict
601,0.19262678236827924,0.0006394710259789316,14807507263.622772,2769.8466822421465,"{'OE1': 38047.22523548664, 'OE2': 38047.22523548664, 'OE3': 22122.422379649932, 'OE4': 22101.340051470586, 'OE5': 22101.340051470586, 'OE6': 17424.602899297137, 'OE7': 4549.886759040148, 'OE8': 3601.0190480091733, 'OE9': 2769.8466822421465}","{'OE1': 9.401106393361514, 'OE2': 6.529114437435234, 'OE3': 6.529119753975996, 'OE4': 12.992227508174734, 'OE5': 12.992227508174734, 'OE6': 0.21886293533267975, 'OE7': 6.107964634819266, 'OE8': 3.2249026892897836, 'OE9': 0.05230753571791369}"
651,0.19917762375644088,0.0006787553013108092,19417854455.571014,2847.616266242072,"{'OE1': 38380.96118475775, 'OE2': 38380.96118475775, 'OE3': 22878.872579393104, 'OE4': 22182.317586509602, 'OE5': 22182.317586509602, 'OE6': 17639.672045844636, 'OE7': 4598.560146585616, 'OE8': 3669.2174142037366, 'OE9': 2847.616266242072}","{'OE1': 9.481118635763268, 'OE2': 6.414424403697993, 'OE3': 6.414393302968897, 'OE4': 12.486086793511642, 'OE5': 12.4860867935116, 'OE6': 0.2223801445192063, 'OE7': 6.1983669083527975, 'OE8': 3.0950123091527337, 'OE9': 0.05531528064922103}"
701,0.24394778881799084,0.0006777531669807528,24158991042.894585,2959.4079207491013,"{'OE1': 38876.97064190194, 'OE2': 38876.97064190194, 'OE3': 23533.609242854, 'OE4': 21922.749998393363, 'OE5': 21922.749998393363, 'OE6': 17620.868668767238, 'OE7': 4673.443477509094, 'OE8': 3768.276171243838, 'OE9': 2959.4079207491013}","{'OE1': 9.38354281012839, 'OE2': 6.542301166823087, 'OE3': 6.542350226612609, 'OE4': 12.03189695842111, 'OE5': 12.03189695842111, 'OE6': 0.21000000125004176, 'OE7': 6.113171187213798, 'OE8': 2.970372420342887, 'OE9': 0.05215204507013424}"
751,0.27872549498511034,0.0007175919778614632,29464663319.47663,2907.5940264635437,"{'OE1': 39195.51770136138, 'OE2': 39195.51770136138, 'OE3': 23709.67946645007, 'OE4': 21385.981538629658, 'OE5': 21385.981538629658, 'OE6': 17328.42904456767, 'OE7': 4515.7310401325085, 'OE8': 3670.6344565853015, 'OE9': 2907.5940264635437}","{'OE1': 9.431156179922501, 'OE2': 6.534815304231067, 'OE3': 6.534866392594557, 'OE4': 11.624310016158404, 'OE5': 11.624310016158404, 'OE6': 0.22171510180304124, 'OE7': 5.991474991498668, 'OE8': 2.8684994411193236, 'OE9': 0.04895046109928994}"
801,0.2945596299484805,0.0007061306139022303,35841258639.32442,3109.301995532097,"{'OE1': 39433.45703381748, 'OE2': 39433.45703381748, 'OE3': 24334.07112343489, 'OE4': 21226.197209941573, 'OE5': 21226.197209941573, 'OE6': 17318.941279913834, 'OE7': 4765.109067497815, 'OE8': 3898.043470268559, 'OE9': 3109.301995532097}","{'OE1': 9.474965658308731, 'OE2': 6.424600853472455, 'OE3': 6.424608706796569, 'OE4': 11.257454132155672, 'OE5': 11.257454132155672, 'OE6': 0.21131080577318706, 'OE7': 6.19298372258241, 'OE8': 2.7771375594004764, 'OE9': 0.0496108373292751}"
851,0.30819026333119837,0.0007465245101028889,41810969548.62769,2992.919873790005,"{'OE1': 39670.6785384994, 'OE2': 39670.6785384994, 'OE3': 24784.82371398784, 'OE4': 20996.43727982027, 'OE5': 20996.43727982027, 'OE6': 17199.711720675477, 'OE7': 4543.161907117381, 'OE8': 3732.270390346997, 'OE9': 2992.919873790005}","{'OE1': 9.386268011734, 'OE2': 6.5420633528711445, 'OE3': 6.5420062785036315, 'OE4': 10.922721950530796, 'OE5': 10.922721950530796, 'OE6': 0.21926120994355303, 'OE7': 6.011803811079194, 'OE8': 2.6910416833879727, 'OE9': 0.05259856655063477}"
901,0.3418132523249824,0.0007307842872963209,49365653194.67927,3169.7909657545015,"{'OE1': 39840.169051010096, 'OE2': 39840.169051010096, 'OE3': 25135.704446160627, 'OE4': 20719.46606990171, 'OE5': 20719.46606990171, 'OE6': 17048.735716974734, 'OE7': 4772.615455597821, 'OE8': 3936.7797938447743, 'OE9': 3169.7909657545015}","{'OE1': 9.375320427901437, 'OE2': 6.414490858266028, 'OE3': 6.414551138815646, 'OE4': 10.615148938798264, 'OE5': 10.615148938798264, 'OE6': 0.22450310104465032, 'OE7': 6.0329585585712895, 'OE8': 2.623693409715051, 'OE9': 0.04931474224378232}"
951,0.3915380066379157,0.0008238597526679193,51937874726.59227,2624.0830610639696,"{'OE1': 39309.142498675144, 'OE2': 39309.142498675144, 'OE3': 24461.21605669102, 'OE4': 19656.632024164064, 'OE5': 19656.632024164064, 'OE6': 15984.598276940827, 'OE7': 4053.3370173997137, 'OE8': 3304.7002446029464, 'OE9': 2624.0830610639696}","{'OE1': 9.424042727747889, 'OE2': 6.280895827561913, 'OE3': 6.2809428320738405, 'OE4': 10.333815053955387, 'OE5': 10.333815053955387, 'OE6': 0.21856862692656853, 'OE7': 6.087996830426407, 'OE8': 2.546079733258653, 'OE9': 0.05317538409195477}"
1001,0.3868410307686645,0.0007965671589399253,55916744076.14085,2613.22942071279,"{'OE1': 38825.09490734315, 'OE2': 38825.09490734315, 'OE3': 23833.7192160929, 'OE4': 18684.43327781979, 'OE5': 18684.43327781979, 'OE6': 15028.489857613664, 'OE7': 4135.347481295515, 'OE8': 3333.5593363087783, 'OE9': 2613.22942071279}","{'OE1': 9.417452528369624, 'OE2': 6.531496583792705, 'OE3': 6.531585589762897, 'OE4': 10.07172107048071, 'OE5': 10.07172107048071, 'OE6': 0.23497495923115813, 'OE7': 6.055164104500562, 'OE8': 2.5166069120829544, 'OE9': 0.0535663295888682}"
1051,0.45118011635122457,0.0008117037920759967,62636135853.80339,2583.4245206116743,"{'OE1': 38934.0628525273, 'OE2': 38934.0628525273, 'OE3': 24066.996707777183, 'OE4': 18469.06494306573, 'OE5': 18469.06494306573, 'OE6': 14885.236371356175, 'OE7': 4062.779192139372, 'OE8': 3283.1564350191693, 'OE9': 2583.4245206116743}","{'OE1': 9.44380661551734, 'OE2': 6.273328069265071, 'OE3': 6.273281195935419, 'OE4': 9.828191540784342, 'OE5': 9.828191540784342, 'OE6': 0.22365233644908566, 'OE7': 5.742819727036824, 'OE8': 2.4658467489850837, 'OE9': 0.05067472156319419}"
