"Energy (eV)"	"Flux (ph/s/0.1%B.W.)"
1.15615e+4	2.18409e+13
1.15914e+4	2.17819e+13
1.16213e+4	2.17230e+13
1.16512e+4	2.16641e+13
1.16811e+4	2.16055e+13
1.17110e+4	2.15469e+13
1.17409e+4	2.14885e+13
1.17708e+4	2.14302e+13
1.18007e+4	2.13720e+13
1.18306e+4	2.13139e+13
1.18605e+4	2.12559e+13
1.18904e+4	2.11981e+13
1.19203e+4	2.11403e+13
1.19502e+4	2.10827e+13
1.19801e+4	2.10252e+13
1.20100e+4	2.09678e+13
1.20399e+4	2.09106e+13
1.20698e+4	2.08534e+13
1.20997e+4	2.07964e+13
1.21296e+4	2.07395e+13
1.21595e+4	2.06827e+13
1.21894e+4	2.06260e+13
1.22193e+4	2.05694e+13
1.22492e+4	2.05130e+13
1.22791e+4	2.04567e+13
1.23090e+4	2.04005e+13
1.23389e+4	2.03444e+13
1.23688e+4	2.02884e+13
1.23987e+4	2.02326e+13
1.24286e+4	2.01769e+13
1.24585e+4	2.01213e+13
1.24884e+4	2.00658e+13
1.25183e+4	2.00104e+13
1.25482e+4	1.99551e+13
1.25781e+4	1.99000e+13
1.26080e+4	1.98450e+13
1.26379e+4	1.97901e+13
1.26678e+4	1.97353e+13
1.26977e+4	1.96807e+13
1.27276e+4	1.96261e+13
1.27575e+4	1.95717e+13
1.27874e+4	1.95174e+13
1.28173e+4	1.94632e+13
1.28472e+4	1.94092e+13
1.28771e+4	1.93552e+13
1.29070e+4	1.93014e+13
1.29369e+4	1.92477e+13
1.29668e+4	1.91941e+13
1.29967e+4	1.91406e+13
1.30266e+4	1.90873e+13
1.30565e+4	1.90341e+13
1.30864e+4	1.89810e+13
1.31163e+4	1.89280e+13
1.31462e+4	1.88751e+13
1.31761e+4	1.88224e+13
1.32060e+4	1.87697e+13
1.32359e+4	1.87172e+13
1.32658e+4	1.86648e+13
1.32957e+4	1.86125e+13
1.33256e+4	1.85604e+13
1.33555e+4	1.85084e+13
1.33854e+4	1.84564e+13
1.34153e+4	1.84046e+13
1.34452e+4	1.83530e+13
1.34751e+4	1.83014e+13
1.35050e+4	1.82499e+13
1.35349e+4	1.81986e+13
1.35648e+4	1.81474e+13
1.35947e+4	1.80963e+13
1.36246e+4	1.80453e+13
1.36545e+4	1.79945e+13
1.36844e+4	1.79438e+13
1.37143e+4	1.78931e+13
1.37442e+4	1.78426e+13
1.37741e+4	1.77923e+13
1.38040e+4	1.77420e+13
1.38339e+4	1.76919e+13
1.38638e+4	1.76418e+13
1.38937e+4	1.75919e+13
1.39236e+4	1.75421e+13
1.39535e+4	1.74924e+13
1.39834e+4	1.74429e+13
1.40133e+4	1.73934e+13
1.40432e+4	1.73441e+13
1.40731e+4	1.72949e+13
1.41030e+4	1.72458e+13
1.41329e+4	1.71968e+13
1.41628e+4	1.71480e+13
1.41927e+4	1.70992e+13
1.42226e+4	1.70506e+13
1.42525e+4	1.70021e+13
1.42824e+4	1.69537e+13
1.43123e+4	1.69054e+13
1.43422e+4	1.68573e+13
1.43721e+4	1.68092e+13
1.44020e+4	1.67613e+13
1.44319e+4	1.67135e+13
1.44618e+4	1.66658e+13
1.44917e+4	1.66182e+13
1.45216e+4	1.65707e+13
1.45515e+4	1.65234e+13
1.45814e+4	1.64761e+13
1.46113e+4	1.64290e+13
1.46412e+4	1.63820e+13
1.46711e+4	1.63351e+13
1.47010e+4	1.62883e+13
1.47309e+4	1.62417e+13
1.47608e+4	1.61951e+13
1.47907e+4	1.61487e+13
1.48206e+4	1.61024e+13
1.48505e+4	1.60561e+13
1.48804e+4	1.60101e+13
1.49103e+4	1.59641e+13
1.49402e+4	1.59182e+13
1.49701e+4	1.58724e+13
1.50000e+4	1.58268e+13
